order,family,genus,species,tax_resolution,a,b,n,minimum_size,maximum_size,continent,region_detail,source publication,relation,original_a,orginal_a_SE,orginal_ln_a,orginal_ln_a_SE,orginal_b,orginal_b_SE,notes
Diptera,Tipulidae,Hexatoma,,genus,0.004451162,2.95039,30,3.2,33,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.41459,0.16809,2.95039,0.07308,
Trichoptera,Limnephilidae,Hydatophylax,,genus,0.005217693,2.91395,37,1.9,25.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.2557,0.16005,2.91395,0.06741,
Plecoptera,Perlidae,Oyamia,Oyamia nigribasis,species,0.005463258,3.05227,32,2.5,20.2,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.20971,0.17407,3.05227,0.07391,
Plecoptera,Geometridae,Scopula,,genus,0.005979012,2.85188,17,4.1,23.2,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.1195,0.30844,2.85188,0.13427,
Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila impar,species,0.006073076,2.93557,14,2.5,9.2,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.10389,0.29494,2.93557,0.16365,
Ephemeroptera,Heptageniidae,Cinygmula,,genus,0.006323515,2.92177,16,4.1,7.1,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.06348,0.22795,2.92177,0.12944,
Plecoptera,Perlidae,Kamimuria,,genus,0.006523462,3.02688,41,2.7,27,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.03235,0.12284,3.02688,0.05873,
Plecoptera,Nemouridae,Amphinemura,,genus,0.007095816,2.84697,41,1.4,9.2,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.94825,0.13579,2.84697,0.08323,
Ephemeroptera,Ephemerellidae,Drunella,Drunella triacantha,species,0.007289867,3.15359,33,3.2,11.3,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.92127,0.18999,3.15359,0.10074,
Diptera,Simuliidae,,,family,0.007311769,2.79446,69,1.2,4.1,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.91827,0.22757,2.79446,0.25393,
Plecoptera,Nemouridae,Nemoura,,genus,0.007505419,2.94903,44,2.1,7.3,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.89213,0.20197,2.94903,0.15143,
Plecoptera,Perlodidae,Stavsolus,,genus,0.008350115,2.73435,30,3.3,16.3,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.78548,0.2121,2.73435,0.10564,
Ephemeroptera,Baetidae,Epeorus,Epeorus curvatulus,species,0.010290748,2.84825,45,2.5,8.1,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.57651,0.12729,2.84825,0.07116,
Ephemeroptera,Heptageniidae,Ecdyonurus,Ecdyonurus kibunensis,species,0.01485216,2.65256,23,2.4,6.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.20961,0.2163,2.65256,0.15452,
Ephemeroptera,Heptageniidae,Ecdyonurus,Ecdyonurus dracon,species,0.015079335,2.81479,39,4.7,12.2,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.19443,0.19024,2.81479,0.09911,
Trichoptera,Odontoceridae,Psilotreta,Psilotreta kisoensis,species,0.017420458,2.77578,57,1.5,11.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.05011,0.20282,2.77578,0.11653,
Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila brevicephala,species,0.018170789,2.40512,29,2.8,6.4,Asia,Korea,Chung et al 2008,linear model natural log,,,-4.00794,0.21875,2.40512,0.1571,
Trichoptera,Hydropsychidae,Leptonema,,genus,0.0005,3.5,,,,South America,"Minas Gerais, Brasil",Coelho et al 2023,power model,0.0005,,,,3.5,,
Diptera,Chironominae,,,subfamily,0.001097193,2.739,19,2.25,8.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-6.815,0.276,2.739,0.167,
Diptera,Chironomidae,,,family,0.001816216,2.435,38,2.25,8.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-6.311,0.218,2.435,0.135,
Trichoptera,Hydropsychidae,Cheumatopsyche,,genus,0.001892229,2.783,16,3.75,12.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-6.27,0.991,2.783,0.513,
Ephemeroptera,Baetidae,Offadens,,genus,0.002350799,2.993,45,1.25,9.5,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-6.053,0.214,2.993,0.14,
Odonata,Gomphidae,Austrogomphus,,genus,0.002608448,3.393,10,2.25,14.25,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.949,0.728,3.393,0.42,
Trichoptera,,,,class,0.00285981,2.549,45,2.25,12.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.857,0.407,2.549,0.221,
Diptera,Orthocladiinae,,,subfamily,0.002958716,2.069,8,2.25,8.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.823,0.404,2.069,0.253,
Trichoptera,Ecnomidae,Ecnomus,,genus,0.003440976,2.418,29,2.25,10.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.672,0.418,2.418,2.433,
Ephemeroptera,Baetidae,Centroptilum,,genus,0.004270604,2.573,15,3.25,7.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.456,0.747,2.573,0.423,
Diptera,Tanypodinae,,,subfamily,0.004663449,1.886,11,3.25,6.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.368,0.493,1.886,0.313,
Odonata,Gomphidae,,,family,0.004892754,3.186,28,2.25,15.25,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.32,0.36,3.186,0.189,
Ephemeroptera,,,,order,0.005021633,2.618,163,1.25,12.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.294,0.103,2.618,0.066,
Ephemeroptera,Caenidae,Irpacaenis,,genus,0.005904739,2.458,26,1.25,5.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.132,0.142,2.458,0.135,
Ephemeroptera,Leptophlebiidae,Atalophlebia,,genus,0.006263601,2.564,33,1.25,12.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-5.073,0.25,2.564,0.136,
Ephemeroptera,Baetidae,Bugona,,genus,0.008522888,2.392,39,2.75,7.25,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-4.765,0.437,2.392,0.279,
Odonata,Corduliidae,Procordulia,,genus,0.010462059,3.044,78,2.25,9.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-4.56,0.196,3.044,0.138,
Odonata,Gomphidae,Hemigomphus,,genus,0.010748383,2.861,18,2.75,15.25,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-4.533,0.261,2.861,0.131,
Odonata,Libellulidae,Urothemis,Urothemis aliena,species,0.012228329,2.728,28,2.75,19.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-4.404,0.211,2.728,0.102,
Odonata,,,,order,0.014728071,2.721,143,2.25,19.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-4.218,0.133,2.721,0.079,
Odonata,Libellulidae,,,family,0.0225054,2.488,37,2.75,19.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-3.794,0.274,2.488,0.136,
Odonata,Libellulidae,Hydrobasileus,Hydrobasileus brevistylus,species,0.095464579,1.888,9,2.75,11.75,Oceania,Australia,Dekanova et al 2022,linear model natural log,,,-2.349,0.65,1.888,0.363,
Plecoptera,Perlidae,Oyamia,Oyamia lugubris,species,0.0048,3.008,104,7.45,30.64,Asia,Japan,Genkai-Kato & Miyasaka 2007,power model,0.0048,,,,3.008,,seasonal variation in reference
Plecoptera,Perlidae,Kamimuria,Kamimuria tibialis,species,0.0093,2.785,49,12.26,24.61,Asia,Japan,Genkai-Kato & Miyasaka 2007,power model,0.0093,,,,2.785,,seasonal variation in reference
Plecoptera,Perlidae,Paragnetina,Paragnetina tinctipennis,species,0.0144,2.714,48,9.62,37.32,Asia,Japan,Genkai-Kato & Miyasaka 2007,power model,0.0144,,,,2.714,,seasonal variation in reference
Plecoptera,Perlidae,Kamimuria,Kamimuria uenoi,species,0.0467,2.223,43,11.49,23.21,Asia,Japan,Genkai-Kato & Miyasaka 2007,power model,0.0467,,,,2.223,,seasonal variation in reference
Ephemeroptera,Leptophlebiidae,Habrophlebia,Habrophlebia fusca,species,0.000764721,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-7.176,0.041,3.733,0.03,
Plecoptera,Nemouridae,Nemoura,Nemoura cinerea,species,0.001901713,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-6.265,0.11,3.588,0.06,
Plecoptera,,,,order,0.002167892,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-6.134,0.056,3.221,0.036,
Plecoptera,Leuctridae,Leuctra,,genus,0.002626771,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.942,0.049,2.818,0.033,
Ephemeroptera,Heptageniidae,Rhithrogena,Rhithrogena semicolorata,species,0.002820052,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.871,0.022,3.284,0.022,
Ephemeroptera,Baetidae,Baetis,,genus,0.004387481,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.429,0.022,2.689,0.02,
Ephemeroptera,Heptageniidae,,,family,0.004548308,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.393,0.027,3.057,0.021,
Ephemeroptera,Leptophlebiidae,,,family,0.004548308,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.393,0.1,2.789,0.082,
Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia submarginata,species,0.004580258,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.386,0.061,2.872,0.047,
Ephemeroptera,,,,order,0.004757657,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.348,0.061,2.756,0.057,
Ephemeroptera,Heptageniidae,Ecdyonurus,Ecdyonurus helveticus,species,0.006637632,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-5.015,0.038,2.9,0.023,
Plecoptera,Perlodidae,Isoperla,Isoperla grammatica,species,0.007104691,3.5,,,,Europe,Italy,Giustini et al 2008,linear model natural log,,,-4.947,0.052,2.743,0.032,
Ephemeroptera,,,,order,0.02983718,2.06,196,3,18,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-3.512,0.349,2.06,0.16,
Diptera,Chironomidae,,,family,0.031555733,1.198,,,,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-3.456,0.4,1.198,0.186,
Diptera,Tipulidae,,,family,0.039439004,1.838,,,,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-3.233,0.271,1.838,0.11,
Ephemeroptera,Baetidae,,,family,0.0619765,1.28,,,,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-2.781,0.551,1.28,0.271,
Ephemeroptera,Heptageniidae,,,family,0.069948222,1.906,,,,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-2.66,0.271,1.906,0.117,
Diptera,Simuliidae,,,family,0.071289944,1.125,,,,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-2.641,0.505,1.125,0.282,
Diptera,,,,order,0.090990516,1.32,511,2,21,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-2.397,0.263,1.32,12,
Trichoptera,,,,order,0.128992631,2.18,183,5,19,Asia,Caspian Sea basin,Hajiesmaeili et al 2019,linear model natural log,,,-2.048,0.403,2.18,0.17,
Diptera,Chironomidae,Chironomus,,species,0.0000428,4.15,38,10,,North America,Alaska,Johnston & Cunjak 1999 FWB,power model,0.0000428,,,,4.15,,Butler (1982)
Ephemeroptera,Tricorythidae,Leptophlebia,Leptophlebia marginata,species,0.0000441,4.69,50,9,13,Europe,Norway,Johnston & Cunjak 1999 FWB,power model,0.0000441,,,,4.69,,Brittain 1978
Diptera,Tipulidae,Pedicia,Pedicia hannai antenatta,species,0.000175,3.51,,7,22,North America,Alaska,Johnston & Cunjak 1999 FWB,power model,0.000175,,,,3.51,,MacLean (1973)
Ephemeroptera,Tricorythidae,Leptophlebia,Leptophlebia cupida,species,0.0002,4.01,,6,,North America,"Alberta, Canada",Johnston & Cunjak 1999 FWB,power model,0.0002,,,,4.01,,Clifford (1979)
Diptera,Chironomidae,Tribelos,,species,0.000281,4.16,12,2.1,4.4,North America,"AZ, USA",Johnston & Cunjak 1999 FWB,power model,0.000281,,,,4.16,,Fisher & Gray (1983)
Ephemeroptera,Siphlonuridae,Siphlonurus,Siphlonurus lacustris,species,0.000319,3.85,80,3,17,Europe,Norway,Johnston & Cunjak 1999 FWB,power model,0.000319,,,,3.85,,Brittain 1978
Megaloptera,Corydalidae,Nigronia,Nigronia serricornis,species,0.000398,3.45,867,10,45,North America,"MI, USA",Johnston & Cunjak 1999 FWB,power model,0.000398,,,,3.45,,Knight & Simmons (1975a)
Diptera,Simuliidae,Stegopterna,Stegopterna mutata,species,0.00042,3.83,169,,,North America,"MI, USA",Johnston & Cunjak 1999 FWB,power model,0.00042,,,,3.83,,Merritt (1982)
Diptera,Chaoboridae,Chaoborus,Chaoborus punctipennis,species,0.000453,2.43,,,,North America,"NC, USA",Johnston & Cunjak 1999 FWB,power model,0.000453,,,,2.43,,Eaton (1983)
Ephemeroptera,Tricorythidae,Leptophlebia,Leptophlebia vespertina,species,0.000469,3.74,66,4,11,Europe,Norway,Johnston & Cunjak 1999 FWB,power model,0.000469,,,,3.74,,Brittain 1978
Megaloptera,Corydalidae,Corydalus,Corydalus cornutus,species,0.000576,3.28,1423,13,85,North America,"MI, USA",Johnston & Cunjak 1999 FWB,power model,0.000576,,,,3.28,,Knight & Simmons (1975b)
Ephemeroptera,Polymitarcyidae,Hexagenia,Hexagenia limbata,species,0.000616,3.31,430,,,North America,"Texas, USA",Johnston & Cunjak 1999 FWB,power model,0.000616,,,,3.31,,Welch & Voldopich (1989)
Diptera,Chironomidae,Chironomus,,genus,0.000762,3.07,21,5,9,North America,Alaska,Johnston & Cunjak 1999 FWB,power model,0.000762,,,,3.07,,Butler (1982)
Ephemeroptera,Polymitarcyidae,Hexagenia,Hexagenia limbata,species,0.000894,3.16,186,,,North America,"Great Lakes, Canada/USA",Johnston & Cunjak 1999 FWB,power model,0.000894,,,,3.16,,Edsall (1991)
Ephemeroptera,Baetidae,Cloëon,Cloëon dipterum,species,0.001,3.68,1096,2,8.4,Europe,Poland,Johnston & Cunjak 1999 FWB,power model,0.001,,,,3.68,,Cianciara (1980)
Diptera,Chironomidae,,,family,0.00113,2.73,,2,19,Europe,"Wales, UK",Johnston & Cunjak 1999 FWB,power model,0.00113,,,,2.73,,Potter & Learner (1974)
Diptera,Simuliidae,Stegopterna,Stegopterna mutata,species,0.00118,3.22,67,,,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00118,,,,3.22,,Morin (1988)
Diptera,Simuliidae,Simulium,Simulium vittatum,species,0.00119,3.65,123,,,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00119,,,,3.65,,Morin (1988)
Diptera,Chironomidae,Chironomus,Chironomus salinarius,genus,0.0012,2.79,947,,,Europe,SW Spain,Johnston & Cunjak 1999 FWB,power model,0.0012,,,,2.79,,Drake & Arias (1995)
Diptera,Simuliidae,Prosimulium,Prosimulium mixtum/fuscum,species,0.00122,3.19,612,,,North America,"MI, USA",Johnston & Cunjak 1999 FWB,power model,0.00122,,,,3.19,,Merritt (1982)
Diptera,Simuliidae,Prosimulium,Prosimulium mixtum/fuscum,,0.00136,3.05,144,,,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00136,,,,3.05,,Morin (1988)
Diptera,Simuliidae,Simulium,,genus,0.00171,2.88,,1,7,Europe,"Durham, UK",Johnston & Cunjak 1999 FWB,power model,0.00171,,,,2.88,,Wotton (1978)
Ephemeroptera,Ephemerellidae,Drunella,,genus,0.00185,3.46,256,,,North America,"Oregon, USA",Johnston & Cunjak 1999 FWB,power model,0.00185,,,,3.46,,
Ephemeroptera,Polymitarcyidae,Ephoron,Ephoron album,species,0.002,3.05,,1,14,North America,"Manitoba, Canada",Johnston & Cunjak 1999 FWB,power model,0.002,,,,3.05,,Giberson & Galloway (1985)
Diptera,Chironomidae,,,family,0.00215,2.71,38,2,6,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00215,,,,2.71,,
Ephemeroptera,Ameletidae,Ameletus,Ameletus inopinatus,species,0.00224,2.9,26,7,13,Europe,Norway,Johnston & Cunjak 1999 FWB,power model,0.00224,,,,2.9,,Brittain 1978
Trichoptera,Polycentropodidae,Polycentropus,Polycentropus flavomaculatus,species,0.00266,2.76,19,3,13,Europe,UK,Johnston & Cunjak 1999 FWB,power model,0.00266,,,,2.76,,Bass (1982)
Ephemeroptera,Tricorythidae,Habrophlebia,Habrophlebia vibrans,species,0.00284,4.29,,,,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00284,,,,4.29,,Lauzon & Harper (1988)
Ephemeroptera,Isonychiidae,Isonychia,,genus,0.00306,2.92,123,,,North America,"California, USA",Johnston & Cunjak 1999 FWB,power model,0.00306,,,,2.92,,Benke & Jacobi (1994)
Ephemeroptera,Polymitarcyidae,Ephemera,Ephemera danica,species,0.00309,2.86,,,,Europe,Sweden,Johnston & Cunjak 1999 FWB,power model,0.00309,,,,2.86,,Svensson (1977)
Ephemeroptera,Polymitarcyidae,Ephemera,Ephemera danica,species,0.00316,2.86,,,,Europe,"Norfolk, UK",Johnston & Cunjak 1999 FWB,power model,0.00316,,,,2.86,,Tokeshi (1985)
Ephemeroptera,Heptageniidae,Rhithrogena,Rhithrogena semicolorata,species,0.00341,3.35,106,,,Europe,Germany,Johnston & Cunjak 1999 FWB,power model,0.00341,,,,3.35,,Wenzel (1990)
Ephemeroptera,Tricorythidae,Habrophlebia,Habrophlebia vibrans,species,0.00349,2.42,,0.5,6,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00349,,,,2.42,,Lauzon & Harper (1988)
Ephemeroptera,Tricorythidae,Leptophlebia,Leptophlebia vespertina,species,0.00363,3.1,15,1.1,8,Europe,"Cheshire, UK",Johnston & Cunjak 1999 FWB,power model,0.00363,,,,3.1,,Savage (1986)
Megaloptera,Sialidae,Sialis,Sialis lutaria,species,0.0039,2.86,42,,,Europe,"Essex, UK",Johnston & Cunjak 1999 FWB,power model,0.0039,,,,2.86,,Brooker (1979)
Ephemeroptera,Baetidae,Baetis,Baetis pygmaeus,species,0.00395,2.38,,,,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00395,,,,2.38,,Lauzon & Harper (1988)
Trichoptera,Philopotamidae,Dolophilodes,,genus,0.00408,2.82,28,2.8,9.4,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00408,,,,2.82,,
Ephemeroptera,Heptageniidae,Ecdyonurus,Ecdyonurus venosus,species,0.0043,3.35,58,,,Europe,Germany,Johnston & Cunjak 1999 FWB,power model,0.0043,,,,3.35,,Wenzel (1990)
Ephemeroptera,Tricorythidae,Leptophlebia,Leptophlebia cupida,species,0.0045,2.23,,,6,North America,"Alberta, Canada",Johnston & Cunjak 1999 FWB,power model,0.0045,,,,2.23,,Clifford (1979)
Ephemeroptera,Heptageniidae,Stenonema,Stenonema modestum,species,0.00474,2.82,,,,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00474,,,,2.82,,Lauzon & Harper (1988)
Odonata,Coenagrionidae,Pyrrhosoma,Pyrrhosoma nymphula,species,0.0049,3,65,1.3,2.7,Europe,"Durham, UK",Johnston & Cunjak 1999 FWB,power model,0.0049,,,,3,,Lawton (1971)
Ephemeroptera,Ephemerellidae,Eurylophella,Eurylophella verisimilis,species,0.00505,2.44,,,,North America,"Quebec, Canada",Johnston & Cunjak 1999 FWB,power model,0.00505,,,,2.44,,Lauzon & Harper (1988)
Ephemeroptera,Baetidae,Baetis,Baetis quilleri,species,0.00517,2.38,12,2,4.4,North America,"Arizona, USA",Johnston & Cunjak 1999 FWB,power model,0.00517,,,,2.38,,Fisher & Gray (1983)
Diptera,Simuliidae,Simulium,Simulium equinum,species,0.00546,2.5,,,,Europe,"Dorset, UK",Johnston & Cunjak 1999 FWB,power model,0.00546,,,,2.5,,Ladle (1972)
Ephemeroptera,Tricorythidae,Habrophlebia,Habrophlebia lauta,species,0.00552,2.7,28,,,Europe,Germany,Johnston & Cunjak 1999 FWB,power model,0.00552,,,,2.7,,Wenzel (1990)
Diptera,Tanypodinae,,,subfamily,0.00562,2,16,3,5.8,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00562,,,,2,,
Diptera,Simuliidae,Simulium,,genus,0.00601,2.81,30,0.65,5.4,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00601,,,,2.81,,
Diptera,Simuliidae,Simulium,Simulium ornatum,species,0.00658,2.31,,,,Europe,"Dorset, UK",Johnston & Cunjak 1999 FWB,power model,0.00658,,,,2.31,,Ladle (1972)
Odonata,Coenagrionidae,Pyrrhosoma,Pyrrhosoma nymphula,species,0.00661,2.73,120,2.7,10,Europe,"Durham, UK",Johnston & Cunjak 1999 FWB,power model,0.00661,,,,2.73,,Lawton (1971)
Odonata,Lestidae,Lestes,Lestes sponsa,species,0.00745,2.97,30,4.9,21,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.00745,,,,2.97,,Pavlov & Zubina (1990)
Ephemeroptera,Heptageniidae,Ecdyonurus,Epeorus sylvicola,species,0.00874,2.89,30,,,Europe,Germany,Johnston & Cunjak 1999 FWB,power model,0.00874,,,,2.89,,Wenzel (1990)
Ephemeroptera,Ephemerellidae,Drunella,,genus,0.00902,3,16,2.3,7,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00902,,,,3,,
Trichoptera,Limnephilidae,Platycentropus,Platycentropus radiatus,species,0.00919,2.7,300,1,12,North America,"NC, USA",Johnston & Cunjak 1999 FWB,power model,0.00919,,,,2.7,,Stout (1990)
Ephemeroptera,Tricorythidae,Tricorythodes,Tricorythodes minutus,species,0.00921,3.22,200,2.5,6,North America,"ID, USA",Johnston & Cunjak 1999 FWB,power model,0.00921,,,,3.22,,McCullough (1979)
Ephemeroptera,Ephemerellidae,,,family,0.00928,2.9,50,1.6,7.1,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00928,,,,2.9,,
Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,genus,0.0094,2.51,50,1.8,7.1,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.0094,,,,2.51,,
Ephemeroptera,Baetidae,Baetis,,genus,0.00946,2.44,45,1.1,5.5,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00946,,,,2.44,,
Ephemeroptera,Baetidae,Accentrella,,genus,0.00962,2.75,57,1,4.8,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00962,,,,2.75,,
Ephemeroptera,Baetidae,,,family,0.00983,2.61,103,1,5.5,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.00983,,,,2.61,,
Ephemeroptera,Baetidae,Baetis,,genus,0.01,2.55,,,,Europe,Switserland,Johnston & Cunjak 1999 FWB,power model,0.01,,,,2.55,,Breitenmoser-Wursten & Sartori (1995)
Plecoptera,Perlidae,Acroneuria,Acroneuria lycorias,species,0.0101,2.9,,,,North America,"MI, USA",Johnston & Cunjak 1999 FWB,power model,0.0101,,,,2.9,,Eggert & Burton (1994)
Ephemeroptera,Ephemerellidae,Serratella,,genus,0.0104,2.83,20,1.6,4.8,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.0104,,,,2.83,,
Ephemeroptera,Heptageniidae,Leucrocuta,,genus,0.0106,2.79,26,1.5,7.5,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.0106,,,,2.79,,
Ephemeroptera,Heptageniidae,,,family,0.0111,2.74,37,1.5,8.6,North America,Canada,Johnston & Cunjak 1999 FWB,power model,0.0111,,,,2.74,,
Ephemeroptera,Ephemerellidae,Ephemerella,,genus,0.0124,2.51,32,,,,,Johnston & Cunjak 1999 FWB,power model,0.0124,,,,2.51,,Benke & Jacobi (1994)
Plecoptera,Perlidae,Acroneuria,Acroneuria lycorias,species,0.0129,2.8,,,,North America,"MI, USA",Johnston & Cunjak 1999 FWB,power model,0.0129,,,,2.8,,Eggert & Burton (1994)
Ephemeroptera,Heptageniidae,Rhithrogena,,genus,0.0138,2.56,,,,Europe,Switserland,Johnston & Cunjak 1999 FWB,power model,0.0138,,,,2.56,,Breitenmoser-Wursten & Sartori (1995)
Plecoptera,Peltoperlidae,Tallaperla,Tallaperla maria,species,0.0141,2.62,289,1,11,North America,"NC, USA",Johnston & Cunjak 1999 FWB,power model,0.0141,,,,2.62,,Stout (1990)
Ephemeroptera,Baetidae,Baetis,Baetis macani,species,0.0147,2.1,12,8,10,Europe,Norway,Johnston & Cunjak 1999 FWB,power model,0.0147,,,,2.1,,Brittain 1978
Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella ignita,species,0.0148,2.21,,0.7,8,Europe,"Dorset, UK",Johnston & Cunjak 1999 FWB,power model,0.0148,,,,2.21,,Bass (1976)
Plecoptera,Capniidae,Allocapnia,Allocapnia rickeri,species,0.0197,1.83,55,1,6.2,North America,"OK, USA",Johnston & Cunjak 1999 FWB,power model,0.0197,,,,1.83,,Jop & Stewart (1987)
Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,species,0.0248,2.65,180,1.8,22,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.0248,,,,2.65,,Pavlov & Zubina (1990)
Plecoptera,Perlidae,Acroneuria,Acroneuria evoluta,species,0.0281,2.36,152,0.5,21,North America,"OK, USA",Johnston & Cunjak 1999 FWB,power model,0.0281,,,,2.36,,Jop & Stewart (1987)
Plecoptera,Perlidae,Agnetia,Agnetia capitata,species,0.0297,2.3,152,1,19,North America,"OK, USA",Johnston & Cunjak 1999 FWB,power model,0.0297,,,,2.3,,Jop & Stewart (1987)
Plecoptera,Perlidae,Neoperla,,genus,0.0307,2.22,88,0.9,12,North America,"OK, USA",Johnston & Cunjak 1999 FWB,power model,0.0307,,,,2.22,,Jop & Stewart (1987)
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche orientalis,species,0.039,2.42,50,0.5,13,Europe,East Russia,Johnston & Cunjak 1999 FWB,power model,0.039,,,,2.42,,Kocharina (1989)
Plecoptera,Peltoperlidae,Prostoia,Prostoia completa,species,0.0435,1.79,63,1,6.8,North America,"OK, USA",Johnston & Cunjak 1999 FWB,power model,0.0435,,,,1.79,,Jop & Stewart (1987)
Plecoptera,Peltoperlidae,Amphinemura,Amphinemura delosa,species,0.0478,1.43,113,0.5,6.4,North America,"OK, USA",Johnston & Cunjak 1999 FWB,power model,0.0478,,,,1.43,,Jop & Stewart (1987)
Plecoptera,Perlodidae,Isoperla,Isoperla namata,species,0.0552,1.79,125,1,12,North America,"OK, USA",Johnston & Cunjak 1999 FWB,power model,0.0552,,,,1.79,,Jop & Stewart (1987)
Trichoptera,Stenopsychidae,Stenopsyche,Stenopsyche marmorata,species,0.056,2.29,50,2,50,Europe,East Russia,Johnston & Cunjak 1999 FWB,power model,0.056,,,,2.29,,Kocharina (1989)
Trichoptera,Hydropsychidae,Arctopsyche,Arctopsyche palpata,species,0.059,2.54,50,0.5,25,Europe,East Russia,Johnston & Cunjak 1999 FWB,power model,0.059,,,,2.54,,Kocharina (1989)
